ModuleID,ModuleName,ChineseName,Category,SubCategory,Description,BlendPolicy,Priority,ActiveStates,InputParams,OutputParams,LagSpeed,IsCore
D07,Boss_Phase,Boss阶段距离,Distance,Special,Boss战阶段转换时的距离变化,Additive,110,Boss_Phase,BossPhase/PhaseTransitionZoomOut,DistanceOffset,3.0,false
F01,BaseFOV,基础FOV,FOV,Base,根据当前状态返回基础FOV值,Override,100,All,CurrentState/StateFOVConfig,FOVOverride,0,true
F02,Speed_FOV,速度FOV,FOV,Dynamic,根据移动速度增加FOV强调速度感,Additive,80,Sprint/Mount,CharacterSpeed/SpeedThreshold/FOVPerSpeed/MaxFOVOffset,FOVOffset,5.0,true
F03,Aim_FOV,瞄准FOV,FOV,Special,瞄准时缩小FOV增强精确感,Override,110,Aim,AimFOV,FOVOverride,0,false
F04,Combat_FOV,战斗FOV,FOV,Dynamic,战斗状态的FOV调整,Additive,85,Combat/LockOn,CombatFOVOffset,FOVOffset,6.0,false
F05,Boss_FOV,Boss战FOV,FOV,Special,Boss战时的广角处理,Additive,90,Boss_Medium/Boss_Large/Boss_Huge,BossSize/BossFOVOffset,FOVOffset,4.0,false
F06,Impact_FOV,冲击FOV,FOV,Effect,攻击命中或受击时的FOV脉冲,Additive,120,Combat/LockOn/Boss_All,ImpactIntensity/FOVPunchScale,FOVOffset,10.0,false
O01,SocketOffset_Base,基础Socket偏移,Offset,Screen,屏幕空间偏移让焦点稳定在屏幕固定位置,Override,100,All,CurrentState/StateSocketOffset,SocketOffsetOverride,0,true
O02,SocketOffset_Shoulder,过肩偏移,Offset,Screen,过肩视角的左右偏移,Override,110,Aim/Combat,ShoulderSide/ShoulderOffset,SocketOffsetOverride,8.0,false
O03,SocketOffset_Switch,肩膀切换,Offset,Screen,左右肩过肩视角的切换过渡,Blend,110,Aim,CurrentShoulder/TargetShoulder/SwitchProgress,SocketOffsetOverride,0,false
O04,TargetOffset_Crouch,蹲伏偏移,Offset,World,蹲伏时的三维空间焦点下移,Additive,100,Explore_Crouch/Stealth,CrouchOffset,TargetOffsetOffset,6.0,false
O05,TargetOffset_Mount,骑乘偏移,Offset,World,骑乘时的三维空间焦点调整,Override,100,Mount,MountFocusOffset,TargetOffsetOverride,4.0,false
C01,Pitch_Clamp,俯仰角限制,Constraint,Rotation,限制相机俯仰角在配置范围内,Override,300,All,CurrentPitch/MinPitch/MaxPitch,PitchOverride,0,true
C02,Distance_Clamp,距离限制,Constraint,Distance,限制相机距离在全局最小最大值内,Override,300,All,CurrentDistance/GlobalMinDistance/GlobalMaxDistance,DistanceOverride,0,true
C03,FOV_Clamp,FOV限制,Constraint,FOV,限制FOV在全局最小最大值内,Override,300,All,CurrentFOV/GlobalMinFOV/GlobalMaxFOV,FOVOverride,0,true
C04,Visibility_Ensure,可见性保证,Constraint,Visibility,确保玩家和目标在屏幕中可见,Additive,250,LockOn/Boss_All,PlayerScreenPos/TargetScreenPos,RotationOffset/DistanceOffset,0,true
