ID,Category,SubCategory,StateName,ChineseName,Description,Priority,Reference
SimplfiedCameraState_127,Item,Pickup,Chest_Open,开箱子,开箱子,1,All
SimplfiedCameraState_128,Item,Pickup,Chest_Mimic,宝箱怪,宝箱怪,1,All
SimplfiedCameraState_129,Item,Use,Item_Use_Estus,使用回复药,使用药水,1,All
SimplfiedCameraState_130,Item,Use,Item_Use_Consumable,使用消耗品,使用消耗品,1,All
SimplfiedCameraState_131,Item,Use,Item_Use_Buff,使用增益物品,使用增益,1,All
SimplfiedCameraState_132,Item,Use,Item_Use_Throwable,使用投掷物,使用投掷物,1,All
SimplfiedCameraState_133,Item,Use,Gesture_Use,使用动作手势,使用手势,1,All
SimplfiedCameraState_134,Item,Equip,Equip_WeaponSwitch,切换武器,切换武器,1,All
SimplfiedCameraState_135,Item,Equip,Equip_TwoHand,双持切换,双持切换,1,All
SimplfiedCameraState_136,Item,Equip,Equip_SpellSwitch,切换法术,切换法术,1,All
SimplfiedCameraState_137,Item,Equip,Equip_ItemSwitch,切换道具栏,切换道具,1,All
SimplfiedCameraState_138,Item,Equip,Equip_Transform,武器变形,武器变形,1,Bloodborne
SimplfiedCameraState_139,Item,Bloodstain,Bloodstain_Touch,触碰血迹,触碰血迹,1,All
SimplfiedCameraState_140,Item,Bloodstain,Bloodstain_View,观看死亡回放,血迹回放,1,All
SimplfiedCameraState_141,Item,Bloodstain,Bloodstain_Retrieve,取回魂回响,取回魂,1,All
SimplfiedCameraState_142,Item,Message,Message_Read,阅读留言,阅读留言,1,All
SimplfiedCameraState_143,Item,Message,Message_Write,书写留言,书写留言,1,All
SimplfiedCameraState_144,NPC,Dialogue,Dialogue_Enter,进入对话,进入对话,1,All
SimplfiedCameraState_145,NPC,Dialogue,Dialogue_Active,对话进行中,对话中,1,All
SimplfiedCameraState_146,NPC,Dialogue,Dialogue_Choice,选择选项,选择选项,1,All
SimplfiedCameraState_147,NPC,Dialogue,Dialogue_Exit,退出对话,退出对话,1,All
SimplfiedCameraState_148,NPC,Service,Merchant_Shop,商人商店,商人商店,1,All
SimplfiedCameraState_149,NPC,Service,Blacksmith_Upgrade,铁匠强化,铁匠强化,1,All
SimplfiedCameraState_150,NPC,Service,LevelUp_Service,升级服务,升级服务,1,All
SimplfiedCameraState_151,RestPoint,Checkpoint,RestPoint_Approach,接近存档点,接近存档点,1,All
SimplfiedCameraState_152,RestPoint,Checkpoint,RestPoint_Activate,激活点燃,激活存档点,1,All
SimplfiedCameraState_153,RestPoint,Checkpoint,RestPoint_Rest,休息状态,休息状态,1,All
SimplfiedCameraState_154,RestPoint,Checkpoint,RestPoint_Menu,存档点菜单,存档点菜单,1,All
SimplfiedCameraState_155,RestPoint,Checkpoint,RestPoint_LevelUp,在存档点升级,存档点升级,1,All
SimplfiedCameraState_156,RestPoint,Checkpoint,RestPoint_Warp,传送,传送,1,All
SimplfiedCameraState_157,RestPoint,Checkpoint,RestPoint_Stand,从存档点站起,存档点站起,1,All
SimplfiedCameraState_158,Death,DeathProcess,Death_Normal,普通死亡,普通死亡,1,All
SimplfiedCameraState_159,Death,DeathProcess,Death_Fall,坠落死亡,坠落死亡,1,All
SimplfiedCameraState_160,Death,DeathProcess,Death_Execution,被处决死亡,被处决,1,All
SimplfiedCameraState_161,Death,DeathProcess,Death_Grab,被抓取死亡,被抓死亡,1,All
SimplfiedCameraState_162,Death,DeathProcess,Death_Camera,死亡镜头,YOU DIED,1,All
SimplfiedCameraState_163,Death,Respawn,Respawn_FadeIn,重生淡入,重生淡入,1,All
SimplfiedCameraState_164,Death,Respawn,Respawn_AtRestPoint,在存档点重生,存档点重生,1,All
SimplfiedCameraState_165,Cinematic,Cutscene,Cutscene_Intro,开场过场,开场过场,1,All
SimplfiedCameraState_166,Cinematic,Cutscene,Cutscene_BossIntro,Boss登场过场,Boss过场,1,All
SimplfiedCameraState_167,Cinematic,Cutscene,Cutscene_BossDeath,Boss死亡过场,Boss死亡过场,1,All
SimplfiedCameraState_168,Cinematic,Cutscene,Cutscene_AreaReveal,区域揭示,区域揭示,1,All
SimplfiedCameraState_169,Cinematic,Cutscene,Cutscene_Ending,结局过场,结局过场,1,All
SimplfiedCameraState_170,Cinematic,Cutscene,Cutscene_NPCEvent,NPC事件过场,NPC事件,1,All
SimplfiedCameraState_171,Cinematic,Transition,Transition_FadeToBlack,淡出到黑,淡出到黑,1,All
SimplfiedCameraState_172,Cinematic,Transition,Transition_FadeFromBlack,从黑淡入,从黑淡入,1,All
SimplfiedCameraState_173,Cinematic,Transition,Transition_Warp,传送转场,传送转场,1,All
SimplfiedCameraState_174,Multiplayer,Coop,MP_SummonSign,召唤符号,召唤符号,1,All
SimplfiedCameraState_175,Multiplayer,Coop,MP_Summoning,召唤过程,召唤过程,1,All
SimplfiedCameraState_176,Multiplayer,Coop,MP_Invading,入侵过程,入侵过程,1,All
SimplfiedCameraState_177,Multiplayer,Coop,MP_CoopCombat,协力战斗,协力战斗,1,All
SimplfiedCameraState_178,Multiplayer,Coop,MP_PvPCombat,PvP战斗,PvP战斗,1,All
SimplfiedCameraState_179,Multiplayer,Coop,MP_SessionEnd,多人结束,多人结束,1,All
SimplfiedCameraState_180,Effect,Time,Time_HitStop,打击顿帧,打击顿帧,1,All
SimplfiedCameraState_181,Effect,Time,Time_ParryFreeze,弹反顿帧,弹反顿帧,1,All
SimplfiedCameraState_182,Effect,Time,Time_CriticalSlow,暴击慢动作,暴击慢动作,1,All
SimplfiedCameraState_183,Effect,Shake,Shake_Hit,受击震动,受击震动,1,All
SimplfiedCameraState_184,Effect,Shake,Shake_Attack,攻击震动,攻击震动,1,All
SimplfiedCameraState_185,Effect,Shake,Shake_Landing,落地震动,落地震动,1,All
SimplfiedCameraState_186,Effect,Shake,Shake_BossFootstep,Boss脚步震动,Boss脚步,1,All
SimplfiedCameraState_187,Effect,Shake,Shake_Explosion,爆炸震动,爆炸震动,1,All
SimplfiedCameraState_188,Effect,Lens,Lens_FOVChange,FOV变化,FOV变化,1,All
SimplfiedCameraState_189,Effect,Lens,Lens_SprintFOV,冲刺FOV增大,冲刺FOV,1,All
SimplfiedCameraState_190,Effect,Lens,Lens_ImpactZoom,冲击zoom,冲击zoom,1,All
SimplfiedCameraState_191,UI,Menu,Menu_Pause,暂停菜单,暂停菜单,1,All
SimplfiedCameraState_192,UI,Menu,Menu_Inventory,物品栏,物品栏,1,All
SimplfiedCameraState_193,UI,Menu,Menu_Equipment,装备菜单,装备菜单,1,All
SimplfiedCameraState_194,UI,Menu,Menu_Status,状态界面,状态界面,1,All
SimplfiedCameraState_195,UI,Menu,Menu_Map,地图,地图,1,EldenRing
SimplfiedCameraState_196,UI,Menu,Menu_System,系统设置,系统设置,1,All
SimplfiedCameraState_197,UI,PhotoMode,Photo_Mode,拍照模式,拍照模式,2,Some
SimplfiedCameraState_198,UI,PhotoMode,Photo_FreeCamera,自由相机,自由相机,2,Some
SimplfiedCameraState_199,Modifier,Core,Modifier_AutoRecenter,自动回中,自动回中,1,All
SimplfiedCameraState_200,Modifier,Core,Modifier_InputDrivenRecenter,输入驱动回中,输入驱动回中,1,All
SimplfiedCameraState_201,Modifier,Core,Modifier_CollisionPush,碰撞推动,碰撞推动,1,All
SimplfiedCameraState_202,Modifier,Core,Modifier_SoftFollow,软性跟随,软性跟随,1,All
SimplfiedCameraState_203,Modifier,Core,Modifier_PitchClamp,俯仰角限制,俯仰角限制,1,All
SimplfiedCameraState_204,Modifier,Core,Modifier_DistanceClamp,距离限制,距离限制,1,All
